2025-11-17T16:15:48.585623300Z | pid=30304 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_201 book=BK-0101
2025-11-17T16:15:49.670214800Z | pid=30304 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_202 book=BK-0102
2025-11-17T16:15:50.930370600Z | pid=3368 | user=gabri | actor=ReturnActor | action=DEVOLUCION_OK | status=OK | branch=S1 user=uS1_001 book=BK-0001
2025-11-17T16:15:51.415631100Z | pid=3368 | user=gabri | actor=ReturnActor | action=DEVOLUCION_OK | status=OK | branch=S1 user=uS1_002 book=BK-0002
2025-11-17T16:15:52.064045300Z | pid=24404 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_003 book=BK-0003
2025-11-17T16:15:52.682340800Z | pid=24404 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_004 book=BK-0004
2025-11-17T16:15:53.365693600Z | pid=30304 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_203 book=BK-0103
2025-11-17T16:15:54.449281700Z | pid=30304 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_204 book=BK-0104
2025-11-17T16:15:55.478079100Z | pid=24404 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_005 book=BK-0005
2025-11-17T16:15:56.161627100Z | pid=3368 | user=gabri | actor=ReturnActor | action=DEVOLUCION_OK | status=OK | branch=S1 user=uS1_006 book=BK-0006
2025-11-17T16:15:56.852172800Z | pid=30304 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_205 book=BK-0105
2025-11-17T16:15:57.866576600Z | pid=30304 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_206 book=BK-0106
2025-11-17T16:15:58.892610200Z | pid=24404 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_007 book=BK-0007
2025-11-17T16:15:59.570111300Z | pid=3368 | user=gabri | actor=ReturnActor | action=DEVOLUCION_OK | status=OK | branch=S1 user=uS1_008 book=BK-0008
2025-11-17T16:16:00.331843400Z | pid=30304 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_207 book=BK-0107
2025-11-17T16:16:01.456485500Z | pid=24404 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_009 book=BK-0009
2025-11-17T16:16:02.085245400Z | pid=3368 | user=gabri | actor=ReturnActor | action=DEVOLUCION_OK | status=OK | branch=S1 user=uS1_010 book=BK-0010
2025-11-17T16:16:02.813014400Z | pid=30304 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_208 book=BK-0108
2025-11-17T16:16:03.908339500Z | pid=30304 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_209 book=BK-0109
2025-11-17T16:16:04.994912300Z | pid=24404 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_011 book=BK-0011
2025-11-17T16:20:10.388962400Z | pid=36876 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_201 book=BK-0101
2025-11-17T16:20:11.597119600Z | pid=36876 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_202 book=BK-0102
2025-11-17T16:20:12.894859100Z | pid=17376 | user=gabri | actor=ReturnActor | action=DEVOLUCION_FAIL | status=FAIL | branch=S1 user=uS1_001 book=BK-0001 error=No se encontró un préstamo ACTIVO para ese usuario/libro/sede
2025-11-17T16:20:13.382850500Z | pid=17376 | user=gabri | actor=ReturnActor | action=DEVOLUCION_FAIL | status=FAIL | branch=S1 user=uS1_002 book=BK-0002 error=No se encontró un préstamo ACTIVO para ese usuario/libro/sede
2025-11-17T16:20:14.366674500Z | pid=19932 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_003 book=BK-0003
2025-11-17T16:20:14.909742800Z | pid=19932 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_004 book=BK-0004
2025-11-17T16:20:15.497358400Z | pid=36876 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_203 book=BK-0103
2025-11-17T16:20:16.647256200Z | pid=36876 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_204 book=BK-0104
2025-11-17T16:20:17.693981200Z | pid=19932 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_005 book=BK-0005
2025-11-17T16:20:18.378522300Z | pid=17376 | user=gabri | actor=ReturnActor | action=DEVOLUCION_FAIL | status=FAIL | branch=S1 user=uS1_006 book=BK-0006 error=No se encontró un préstamo ACTIVO para ese usuario/libro/sede
2025-11-17T16:20:19.059113700Z | pid=36876 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_205 book=BK-0105
2025-11-17T16:20:20.098354700Z | pid=36876 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_206 book=BK-0106
2025-11-17T16:20:21.137628700Z | pid=19932 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_007 book=BK-0007
2025-11-17T16:20:21.830283900Z | pid=17376 | user=gabri | actor=ReturnActor | action=DEVOLUCION_FAIL | status=FAIL | branch=S1 user=uS1_008 book=BK-0008 error=No se encontró un préstamo ACTIVO para ese usuario/libro/sede
2025-11-17T16:20:22.466132900Z | pid=36876 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_207 book=BK-0107
2025-11-17T16:20:23.520362Z | pid=19932 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_009 book=BK-0009
2025-11-17T16:20:24.159753600Z | pid=17376 | user=gabri | actor=ReturnActor | action=DEVOLUCION_FAIL | status=FAIL | branch=S1 user=uS1_010 book=BK-0010 error=No se encontró un préstamo ACTIVO para ese usuario/libro/sede
2025-11-17T16:20:24.829644800Z | pid=36876 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_208 book=BK-0108
2025-11-17T16:20:25.900007700Z | pid=36876 | user=gabri | actor=GC | action=PRESTAMO_OK | status=OK | branch=S1 user=uS1_209 book=BK-0109
2025-11-17T16:20:26.981590600Z | pid=19932 | user=gabri | actor=RenewalActor | action=RENOVACION_OK | status=OK | branch=S1 user=uS1_011 book=BK-0011
